,title,href,summary
0,Dansk EM-modstander ramt af corona,https://www.facebook.com/share.php?u=undefined,"På dagen for Sveriges første kamp ved kvindernes EM i håndbold har holdet, der er i Danmarks gruppe, fået en nedslående nyhed.Den 20-årige højreback Nina Koppang har således afleveret en positiv coronatest, og derfor er hun ikke med i Sveriges første kamp mod Serbien.Det skriver Sveriges Håndboldforbund på sin hjemmeside.Nina Koppang er lige nu isoleret fra sine holdkammerater, efter at hun torsdag fik nyheden om den positive coronatest.Dansk Håndbold Forbund har fredag morgen oplyst, at alle de danske spillere har afleveret negative coronatest. Dermed er de alle klar til at spille mod værtsnationen Slovenien fredag aften.Sverige skal møde Danmark i de to nationers sidste gruppekamp 8. november. Slovenien, Montenegro og Nordmakedonien er værter ved slutrunden./ritzau/"
1,Efter aflysning: Næste lørdag kører dronning Margrethe karet gennem København,mailto:AGIL@dr.dk,"Næste lørdag, den 12. november, kan københavnerne få et glimt af dronning Margrethe.Her vil hun nemlig køre karet gennem byen ledsaget af Garderhusarregimentets Heste-eskadron, skriver Københavns Kommune i en pressemeddelelse.Karetturen var en del af den jubilæumsfejring, som blev aflyst i september på grund af britiske dronning Elizabeths død.Næste lørdag vil dronningen som tidligere beskrevet også stille sig frem til vink på Københavns Rådhus' balkon.Her mødes den kongelige familie ligeledes til frokost. <a href=https://www.dr.dk/nyheder/seneste/den-kongelige-familie-moedes-til-officiel-frokost-foerste-gang-siden-titelstrid Det bliver det første officielle møde</a> mellem dronning Margrethe, prins Joachim, prinsesse Marie, kronprins Frederik og kronprinsesse Mary, siden <a href=https://drupal.dr.dk/nyheder/indland/se-videoen-alle-taler-om-her-faar-ekstra-bladet-fat-i-en-rystet-prins-joachim striden om titler i kongehuset startede i september.</a>"
2,Ellemann efter møde: Svært at se Venstre pege på Mette Frederiksen,mailto:AGIL@dr.dk,"Venstres formand, Jakob Ellemann-Jensen, har efter små tre kvarters møde med Mette Frederiksen fortsat svært ved at se en mulighed for regeringsdannelse med Socialdemokratiet.- Vi har haft et fint møde, men jeg synes, at det ser vanskeligt ud, siger han.- Vi mener noget forskelligt rent politisk, og vi har et forskelligt syn på, hvordan Danmark skal ledes.Ellemann vil dog ikke afvise at komme igen til forhandlingerne. Det handler om at få 'det største liberale aftryk som muligt', siger han.- Vi har det parlament, som vælgerne har sammensat. Der skal vi arbejde med hinanden. Men jeg har svært ved at se Venstre pege på Mette Frederiksen som statsminister."
3,Optællingsfejl gjorde Maria til folketingsmedlem i ti timer,mailto:rjun@dr.dk,"Efter valget har der været røde ører på det nordjyske valgsted i Sæby.For da stemmerne blev talt op, <a href=https://www.dr.dk/nyheder/seneste/kaempefejl-i-optaelling-af-stemmer-enhedslisten-byttede-stemmer-med fik de valgtilforordnede byttet rundt på partibogstaverne Æ og Ø</a>, så Enhedslisten fik Danmarksdemokraternes stemmer – og omvendt.På grund af valgmatematikken betød den fejl, at to politikere i andre dele af landet troede, at de var blevet valgt ind.En af dem er Maria Temponeras, der var spidskandidat for Enhedslisten i Vestjyllands Storkreds.- Det var en rutsjetur. Men jeg har allermest ondt af dem, der har stået der og fået røde ører, siger hun.I ti timer kunne hun kalde sig folketingsmedlem. Men så kom beskeden om, at hun alligevel ikke var valgt ind.- Jeg har fået blomster og chokolade og lykønskninger fra nær og fjern. Jeg sender ikke blomsterne tilbage, men jeg var nødt til at sende besked rundt om, at jeg ikke kom i Folketinget alligevel."
4,Skolerne i New Delhi holder lukket på grund af luftforurening,mailto:AGIL@dr.dk,"Luften i Indiens hovedstad er så fyldt med farlige partikler, at skolebørn skal blive hjemme.Skoler i New Delhi vil således blive lukket fra lørdag, indtil luftkvaliteten er tilbage på et acceptabelt niveau. Det har Indiens førsteminister, Arvind Kejriwal, ifølge Reuters bestemt.Luftforureningen i New Delhi er ifølge Times of India blevet forværret efter den hinduistiske højtid Diwali. Her blev store mængder fyrværkeri fyret af.New Delhi, der huser 20 millioner mennesker, bliver næsten hvert år udfordret af luftforurening. Sidste år lukkede skolerne også i en periode.Koncentrationen af forurenende, farlige partikler i Delhi overstiger de internationalt fastsatte grænseværdier 20 gange."
5,Politiet indkalder til pressemøde efter drab på gravid kvinde,mailto:frpa@dr.dk,"Midt- og Vestsjællands Politi holder pressebriefing i dag klokken 9.45, efter en gravid kvinde sent i går aftes blev dræbt i Holbæk.Det var en 37-årig kvinde, der på vej hjem fra arbejde blev overfaldet af en endnu ukendt gerningsmand, der stak hende flere gange med en kniv og trak hende ud af bilen.Selvom hun blev bragt til hospitalet, stod hendes liv ikke til at redde. De første oplysninger var, at barnet overlevede angrebet, men tilstanden er uvis.Politiet har tidligere på morgenen været massivt til stede på Samsøvej i Holbæk, hvor drabet skete. Seneste melding er, at efterforskningen på stedet er afsluttet.Der vil være en mobil politistation til stede på vejen for alle, der har behov for at snakke med politiet, eller hvis man har set noget mistænkeligt.Pressebriefingen bliver afholdt på politistationen i Roskilde, skriver politiet på Twitter."
6,Ellemann fastholder ønsket om ny statsminister før forhandlinger - Mette Frederiksen er optimistisk,mailto:frpa@dr.dk,"Her til morgen er forhandlingerne med henblik på en regeringsdannelse begyndt.Den kongelige undersøger og fungerende statsminister, Mette Frederiksen, har inviteret Venstre som de første til forhandlingerne.Men selvom flere <a href=https://www.dr.dk/nyheder/politik/folketingsvalg/flere-venstre-profiler-aabner-op-en-regering-med-mette-frederiksen Venstre-profiler så småt er begyndt at åbne for et samarbejde</a> med Socialdemokratiet, står partiets formand, Jakob Ellemann-Jensen, fast på budskabet fra valgkampen:- Jeg har ikke nogen ambitioner om at gøre Mette Frederiksen til statsminister, siger han foran Marienborg, hvor forhandlingerne sker.Han siger samtidig, at han kommer med en nysgerrighed for at høre, om der er noget vilje og realisme bag ønsket om en bred regering.- Nu må vi se, hvad de siger. Hvis et andet parti adopterer Venstres politik en-til-en, så har vi en ny situation. Lad os se, om det bliver tilfældet.Mette Frederiksen er selv optimistisk omkring en bred regering forud for forhandlingerne.- Jeg tror, chancerne er gode, for selvfølgelig bliver der sagt forskellige ting under en valgkamp, men vi er i en helt særlig situation i Danmark og Europa, og det fordrer, at vi gør tingene anderledes, siger hun."
7,Trump sender budskab om sit mulige kandidatur til præsidentvalget: 'Gør jer klar',mailto:frpa@dr.dk,"Donald Trump har endnu ikke officielt meldt ud, at han stiller op til det kommende præsidentvalg i USA i 2024.Men få dage før midtvejsvalget i landet sendte han foran en stor forsamling af sine republikanske støtter et kraftigt signal om, at det kommer til at ske.Det var i går i Iowa til det første af fire vælgermøder på fem dage, at den tidligere præsident luftede muligheden for atter at stille op.Samtidig sendte han endnu engang et budskab om, at der var fusk ved valget i 2020, hvor han tabte til Joe Biden.- Jeg gik efter det to gange. Jeg vandt to gange, og gjorde det så meget bedre den anden gang end den første. Jeg fik millioner flere stemmer i 2020, end jeg fik i 2016, sagde han blandt andet ifølge BBC.- Og nu for at gøre vores land succesfuldt, sikkert og gloværdigt. Jeg vil meget, meget, meget sandsynligt gøre det igen. Meget snart. Gør jer klar, sagde Donald Trump.Midtvejsvalget bliver afholdt den 8. november, og det afgør magtbalancen i Kongressen. Joe Bidens parti, Demokraterne, flertallet i begge Kongressens kamre.Hvis rivalerne Republikanerne får flertal i bare ét af de to kamre, kan de lamme Bidens politiske dagsorden."
8,Musk har varslet massefyring: Twitter-medarbejdere hjemsendes,mailto:AGIL@dr.dk,"Blot en uge efter, at verdens rigeste mand har købt Twitter, bliver det sociale medie ramt af massefyringer.Elon Musk har tidligere bebudet at ville skære en stor luns af staben. Og nu er alle medarbejdere blevet sendt hjem med beskeden om, at de vil få en mail, hvis de ikke skal møde på arbejde igen, skriver Reuters.- Hvis du er på et kontor eller på vej til et kontor, så tag venligst hjem, lyder det.Hovedkontoret i San Francisco lukker sågar, så ikke engang medarbejdere kan komme ind i bygningen.- I bestræbelser på at placere Twitter på en sund sti, kommer vi til at gå gennem en svær proces med at reducere vores globale arbejdsstyrke fredag, lyder det ifølge nyhedsbureauet i mailen."
9,Vejret i dag: Vestkysten får vindstød lige under orkanstyrke,mailto:bsbr@dr.dk,"Det kommer til at ruske godt i vores opfattelse af et forholdsvis roligt efterår i dag, hvor de fleste får en vind af jævn til hård styrke, men særligt langs Vestkysten vil det blæse op.I eftermiddag har prognoserne vindstød af stærk storm-styrke, det vil sige op til 32 meter i sekundet. Det er kategorien lige under orkan-styrke. Middelvinden vil i samme periode langs Vestkysten være af stormende kuling.Der kommer også regn til hele landet i dag, dog langsomt en opklaring fra syd, mens Midt- og Vestjylland får regn det meste af dagen.Temperaturer op til 12 grader i dag."
